location,vaccine,total_vaccinations,days_to_make_vaccines,amount_vaccines_needed
Chile,Pfizer/BioNTech,80555807,131,2
Chile,Sinovac,643278800,131,2
Czechia,Johnson&Johnson,56899,129,1
Czechia,Moderna,12979313,129,2
Czechia,Oxford/AstraZeneca,15364645,129,2
Czechia,Pfizer/BioNTech,114062982,129,2
France,Johnson&Johnson,407106,128,1
France,Moderna,63456652,128,2
France,Oxford/AstraZeneca,157591330,128,2
France,Pfizer/BioNTech,724166180,128,2
Germany,Johnson&Johnson,48158,129,1
Germany,Moderna,60923596,129,2
Germany,Oxford/AstraZeneca,221313843,129,2
Germany,Pfizer/BioNTech,981695376,129,2
Iceland,Johnson&Johnson,10184,127,1
Iceland,Moderna,584142,127,2
Iceland,Oxford/AstraZeneca,1294084,127,2
Iceland,Pfizer/BioNTech,4421948,127,2
Italy,Johnson&Johnson,705062,129,1
Italy,Moderna,49832187,129,2
Italy,Oxford/AstraZeneca,153701947,129,2
Italy,Pfizer/BioNTech,692229819,129,2
Latvia,Johnson&Johnson,1275,128,1
Latvia,Moderna,1945494,128,2
Latvia,Oxford/AstraZeneca,5997087,128,2
Latvia,Pfizer/BioNTech,3898921,128,2
Lithuania,Johnson&Johnson,1297,129,1
Lithuania,Moderna,2976732,129,2
Lithuania,Oxford/AstraZeneca,8648594,129,2
Lithuania,Pfizer/BioNTech,32644120,129,2
Romania,Johnson&Johnson,312,129,1
Romania,Moderna,17727106,129,2
Romania,Oxford/AstraZeneca,25150452,129,2
Romania,Pfizer/BioNTech,217240145,129,2
United States,Johnson&Johnson,289606447,113,1
United States,Moderna,5680336220,113,2
United States,Pfizer/BioNTech,6438814160,113,2
